"题目","朝代","作者","内容"
"延平郡王祠古梅","清末民国初","王则修","骑鲸人去老梅妍，古色寒香二百年。数点欲流亡国泪，一枝尚带故宫烟。魂归月下心偏冷，春涌阶前品是仙。正气独扶王气在，漫将无地为伊怜。"
"蓝桥","清末民国初","王则修","欲从何处遇仙姬，长板桥头杵捣时。一碗琼浆甘若蜜，两情胶漆固于丝。良姻本是由天定，佳偶难为隔地移。千古裴航真艳福，洞房韵事至今遗。"
"延平郡王祠古梅","清末民国初","徐杰夫","延平祠内月黄昏，庙貌巍峨古树存。管领群芳魁独占，梅魂长此伴忠魂。"
"乙酉1885乡试舟至马江口占","清末民国初","许南英","扁舟一棹马江平，席帽依然太瘦生。卖藕小娃犹认得，笑余三度到榕城。"
"丙戌1886偕徐仞千陈梧冈两同年来京会试徐捷得工部陈考得中书余已入彀因对策伤时被放二君强欲留余在京过夏书此谢之","清末民国初","许南英","工部原诗客，中书号舍人。来时同襆被，归路自风尘。台阁花如锦，关河柳不春。不如归去好，傲骨自嶙峋。"
"和王泳翔留别台南诸友原韵之ㄧ","清末民国初","许南英","文坛犹记竹溪西，一队鞭丝帽影齐。南国香销名士尽，杜鹃休向耳边啼。"
"和王泳翔留别台南诸友原韵 其二","清末民国初","许南英","竹枝唱罢泪如丝，庶务纷更异昔时。一样灾黎遭小劫，幽冤谁诉与天知。"
"寄台南诸友之ㄧ","清末民国初","许南英","徒死亦何益，馀生实可哀。纵云时莫挽，终恨我无才。身世今萍梗，图书旧劫灰。家山洋海隔，乡梦又归来。"
"送汪杏泉入都补殿试之ㄧ","清末民国初","许南英","风云变态几经秋，劫火生还有旧游。东海文章馀数子，西清品望孰为俦。楼台蜃气文星朗，邑里鲲沙逝水流。栖翠簃间同剪烛，莫谈乡事起乡愁。"
"送汪杏泉入都补殿试 其二","清末民国初","许南英","不容混迹列樵渔，奔走风尘难索居。好友难逢多难后，遗民喜见受恩初。一官老我羞元亮，三策期君学仲舒。浪说此乡多宝玉，东行枉驾故人车。"
"访梅","清末民国初","陈廷植","传来消息这番新，春满孤山探问频。若识予心虚似竹，臞仙应笑遇知人。"
"观剧","清末民国初","谢汝铨","说奸正是奸，言雄亦是雄。千古奸雄者，惟有一曹公。魏王演逼宫，晋王演逼宫。魏篡晋亦篡，兴亡似梦中。其心路人见，谁为抱孤忠。魏有跪天子，人心快所同。"
"凤凰木","清末民国初","王则修","丹山片羽下幽蹊，幻作虬枝碧汉齐。猩色遥连官道晚，浓阴密布驿亭低。萧萧风动看仪舞，翼翼花飞送马蹄。劫后剩桐零落尽，让他威镇赤城西。"
"穿山甲","清末民国初","王则修","一种生成异物传，身披鳞甲动秋烟。宛如社鼠穿墉固，亦似城狐据地偏。穴里春饥寻蚁食，峰头日暮作龙眠。无能血战玄黄野，流落高冈但蜿蜒。"
"西门豹","清末民国初","王则修","不独沉巫俗可移，荒凉邺邑起疮痍。多君治绩推兴利，渠水长流十二支。"
"林圯","清末民国初","王则修","一向屯兵事垦田，参军拓地至沙连。泉甘土美难容弃，食尽身歼剧可怜。姓字尚留原上石，岁时争献墓头钱。小儒立马秋风里，碑碣搜寻为怆然。"
"斗鸡","清末民国初","王则修","高冠爱戴气熊熊，百战居然武士风。敌忾何知头尽秃，示威不怕血流红。生成敢死灵禽勇，一例狂奔走狗功。怪底子安曾作檄，鼓他人世决雌雄。"
"感事 其五","清末民国初","宋育仁","神州真不返，吾意竟蹉跎。忍坐军需急，宁论岁币多。挥戈悬汉日，衔石误虞罗。岂见臧文仲，当车泣卞和。"
"小眉公子在日里以见怀诗寄示作此奉答","清末民国初","汪春源","商飙万里倦吟身，往复邮筒仗雁臣。绝徼骚坛归月旦，孤山仙眷属风人。牙签满架琳琅府，足迹千程岛屿春。珍重百朋遥锡我，庄襟更比古贤淳。"
"和移居韵答公愚即以送行","清末民国初","汪春源","忆昔琴樽共细论，剪灯夜话雨声喧。吟诗争写鸡林贾，著赋何嫌犊鼻裈。处士风流携鹤侣，骚人韵事住鸥村。故园秋菊多佳色，犹记餐英楚客魂。棉兰深处读书堂，记否家山荔子香。万卷纷罗天禄府，百蛮珍重养生方。文章洛社推元白，门第乌衣数谢王。八表停云延伫甚，赠诗笑我索枯肠。星星鲲澥几遗民，何处桃源好隐沦。世变沧桑成幻梦，岁寒梅雪伴吟身。清风朗月怀玄度，瘴雨蛮烟忆故人。妒煞君家咸与籍，襟期潇洒出风尘。"
"和移居韵答公愚即以送行","清末民国初","汪春源","芗江刻烛夜阄诗，展诵吟笺月影移。万里关山劳问讯，一灯风雨入书帷。宦情似水栖身隐，世事如棋冷眼窥。廿载浮家萍泛感，愧无刘尹买山赀。"
"寓台咏怀 其一","清末民国初","易顺鼎","玉门何路望生还，恍忽长辞天地间。黄耳音书隔人海，红毛衣服共云山。亡秦歃血今三户，适越文身古百蛮。皂帽藜床未归客，独惭无术救时艰。"
"寓台咏怀 其二","清末民国初","易顺鼎","田横岛上此臣民，不负天家二百春。中露微君黎望卫，下泉无伯桧思郇。谁忘被发缨冠义，各念茹毛践土身。痛哭珠崖原汉地，大呼仓葛本王人。"
"寓台咏怀 其三","清末民国初","易顺鼎","愁上高楼望夕烽，东南佳气几时钟。水遮王母三千里，山隔刘郎一万重。故垒阵图夔府石，荒城牌字象州松。鲸鲵京观分明在，何事天骄访旧踪。"
"寓台咏怀 其四","清末民国初","易顺鼎","延平祠庙郁岧峣，割据英雄气未消。见说杜鹃啼蜀帝，不妨桀犬吠唐尧。廿年赐姓空开国，再世降王已入朝。十二银山掀鹿耳，精灵犹作伍胥潮。"
"寓台咏怀 其五","清末民国初","易顺鼎","海录虞衡览物华，南方卑湿过长沙。钩辀格磔人如鸟，答遝离支果胜花。日暖炎洲无翡翠，雨昏瘴窟有龙蛇。采风番社何人事，惟见蒲桃载满槎。"
"寓台咏怀 其六","清末民国初","易顺鼎","宝刀未斩郅支头，惭愧炎荒此系舟。泛海零丁文信国，渡泸兵甲武乡侯。偶因射虎随飞将，苦对盘鸢忆少游。马革倘能归故里，招魂应向日南州。"
"续寓台咏怀 其一","清末民国初","易顺鼎","二百年前虱处裈，涵濡煦育子生孙。久无剧盗萑苻泽，那有强藩桔柣门。麦饭牛羊亡国垄，桃花鸡犬远人村。昆明池上旌旗在，谁拨残灰验劫痕。"
"续寓台咏怀 其二","清末民国初","易顺鼎","浪泊炎风跕跕鸢，书生翻作马文渊。零丁洋外疑无地，大甲溪边别有天。虎齿所居楼十二，鸿毛难载水三千。中原一发何时达，目断齐州九点烟。"
"续寓台咏怀 其三","清末民国初","易顺鼎","贾谊长沙已自伤，长沙今更隔潇湘。元蜂赤蚁苍梧野，紫蟹黄鱼白苇庄。海水似墙遮北极，火云如盖覆南荒。炎方怪底无冰雪，都作羁人鬓上霜。"
"续寓台咏怀 其四","清末民国初","易顺鼎","天末孤城城上头，登临无地可销忧。藤萝芦荻如夔府，薜荔芙蓉似柳州。坠露沈云都入海，惊风密雨总当楼。大荒我有他年约，披发骑麟再访秋。"
"续寓台咏怀 其五","清末民国初","易顺鼎","八表风云一剑磨，夜骑天驷度天河。梳头逆旅逢张妹，椎髻蛮夷起赵佗。折节太原公子在，感怀真定弟昆多。宝刀难断东流水，万古愁心奈尔何。"
"续寓台咏怀 其六","清末民国初","易顺鼎","哀郢怀沙死拒秦，平生幽怨楚灵均。白麟奇木长缨客，紫凤天吴短褐人。南北恍超风马海，东西愁近杀牛邻。卜居终在江鱼腹，岁岁三闾占好春。"
"陈蕃榻","清末民国初","施梅樵","太守能青眼，南州独感恩。礼贤推仲举，雅量胜平原。枕簟清无梦，风霜夜自温。豫章传轶事，始觉布衣尊。"
"行脚僧","清末民国初","施梅樵","竹杖芒鞋自在游，梵林别后几春秋。脚跟久已环三岛，眼界真成隘九州。何必随身经卷富，不同糊口稻粱谋。大千世界无遮碍，一例行云任去留。"
"挽赵云石","清末民国初","施梅樵","庠序蜚声震海东，骚坛月旦忝随公。青衫寥落悲今日，白社衣冠拜下风。一别宁知成隔世，九原何处诉微衷。南游未及刍香奠，忙碌归期惜太匆。"
"春烟 其一","清末民国初","施梅樵","惊疑浓雾蔽层霄，咫尺浑如万里遥。却怪东风吹不散，园花开日也无聊。"
"春烟 其二","清末民国初","施梅樵","隔断花容罥柳腰，随风顷刻便冲霄。迷人去路终难散，何独重重掩画桥。"
"老马叹","清末民国初","徐杰夫","漫说风霜阅历频，骊黄甄别已无人。识途且作穷途哭，枉费当年志绝尘。"
"蛙鼓","清末民国初","许南英","梦回池馆寂无哗，鼓吹喧闻两部蛙。桑柘夕阳争报社，海棠春雨乱催花。几时蚁战初酣阵，何处蜂飞欲散衙。岂是正平灵爽在，屈身犹自作三挝。"
"蝉琴","清末民国初","许南英","入耳频和石上泉，请将绿绮托青蝉。有声自信非凡响，得趣何劳太古弦。羽调叶时鸣夏日，商音变处怨秋天。让他万壑松涛满，浓绿清阴一饱眠。"
"蝶拍","清末民国初","许南英","六朝金粉不堪论，剩得翻风两拍存。按节日中衣任晒，踏歌花里翅无痕。记从天宝敲宫谱，梦与庄生唱鼓盆。倘入滕王新画本，依然子弟老梨园。"
"忆菊","清末民国初","许南英","著意在篱东，芳魂几日空。花容都寂寞，心事尚朦胧。节晚人偏瘦，秋归梦未通。多情情更误，无语怼西风。"
"吊吴季篯参谋之ㄧ","清末民国初","许南英","北望彰城吊季篯，西风酸鼻哭人天。沙场白骨臣之壮，幕府青衫我独贤。旗捲七星援卒散，山围八卦贼氛然。岂徒一死酬知己，蘋藻春秋荐豆笾。"
"孙武子","清末民国初","许南英","讲武思孙子，吴人听鼓鼙。书生权上将，号令肃深闺。自古言行阵，真铨在止齐。十三篇尚在，按剑细参稽。"
"吴大帝之ㄧ","清末民国初","许南英","大江东去走征帆，凭吊吴峰日色衔。金粉江山初得主，英雄兄妹迥非凡。刘曹并世能分据，瑜亮同时不信谗。遗庙尚存王气尽，秋风萧瑟响松杉。"
"侯朝宗","清末民国初","许南英","当时马阮苦排挤，乱世危言几噬脐。公子文章高复社，美人恩怨起香闺。笺传燕子奸谋伏，扇画桃花血色迷。到老将军门下客，堂名壮悔不虚题。"
"拟小游仙之ㄧ","清末民国初","许南英","仙山何处是蓬莱，弱水三千去不回。十八年前遭小劫，红羊劫尽复归来。"
"拟小游仙 其二","清末民国初","许南英","群仙高会在蓬瀛，我亦仙班旧有名。神女宓妃相顾语，痴仙祇认许飞琼。"
"拟小游仙 其三","清末民国初","许南英","满山开遍碧桃花，来访仙姬第几家。忽遇刘晨牵阮肇，深宵绛洞饭胡麻。"
"拟小游仙 其四","清末民国初","许南英","一醉琼浆白玉醪，瑶池阿母饷蟠桃。道心不为思凡动，无用麻姑痒处搔。"
"秋雁","清末民国初","许南英","天末凉风暂作寒，遥看只雁度云端。依稀秋信传来易，迢递乡音寄去难。吊影吴江枫叶老，失群沙碛蓼花残。衔芦回首衡阳过，不过衡阳泪不乾。"
"咏梅八首和贡觉原韵 其一","清末民国初","许南英","冬心独抱岁寒时，惆怅茅檐与竹篱。和靖孤山劳想像，师雄短梦忽迷离。横斜古干无妨傲，酝酿春风不讳痴。风雪灞桥驴背上，琴樽水石远相期。"
"咏梅八首和贡觉原韵 其二","清末民国初","许南英","破腊东风茁玉英，蹇驴踏雪板桥行。美人有约春初信，隐士如传空谷声。耐冷未妨登绝壁，闻香疑是隔前程。折花未必调羹用，也慰空山解渴情。"
"咏梅八首和贡觉原韵 其三","清末民国初","许南英","绮窗染翰净无尘，著手生香竟绝伦。惨淡云烟编画史，聪明冰雪拜花神。消磨北苑三升墨，点缀西溪一卷春。绝类华光师粉本，冷魂墨迹自精匀。"
"咏梅八首和贡觉原韵 其四","清末民国初","许南英","空山有客坐横琴，叠叠梅花逸韵侵。弄影巡檐时索笑，噙香据石发狂吟。春魁独占群芳谱，阳气光回数点心。岁序鸿钧初转律，霜禽解冻变新音。"
"咏梅八首和贡觉原韵 其五","清末民国初","许南英","九九消寒雅会联，耐寒沽酒坐花前。腊于破后山容笑，霰已飞馀水腹坚。招鹤云间圆好梦，骑驴雪里驻吟鞭。琼楼玉宇成香国，绝点尘埃即是仙。"
"咏梅八首和贡觉原韵 其六","清末民国初","许南英","淡尝世味与人殊，寄迹孤山伴亦孤。不去洛阳争富贵，却来庾岭号清臞。因缘转误林逋老，眷属谁怜邓尉枯。问道寿阳曾点额，承恩承宠有耶无。"
"咏梅八首和贡觉原韵 其七","清末民国初","许南英","春来攀折小江干，安插铜瓶冻已乾。孕子微酸须夏令，怜卿太苦谢年残。寿阳南内含香冷，婕妤长门望幸难。寂寞空山相慰藉，高岑老鹤守天寒。"
"咏梅八首和贡觉原韵 其八","清末民国初","许南英","不受尘埃半点污，前身濯魄沁冰壶。罗浮梦绕山中住，环佩魂归月下呼。亿万放翁分历乱，两三神女认模糊。重衾纸帐寒犹恋，睡起孤山讯有无。"
"秋日怀人并序 其一","清末民国初","许南英","迢递江关问起居，沈腰潘鬓近何如。饥来大府犹分俸，老去空山自著书。暖拥群花醇酒后，狂吟小草劫尘馀。子平易数吾能说，磨蝎韩苏似不虚。"
"秋日怀人并序 其二","清末民国初","许南英","山中宰相地行仙，矍铄精神晚节坚。杜老诗篇开宝际，陶公禄米义熙前。梅花纸帐寒无梦，乔木深山老有年。一自朝云解脱后，藤床枯坐六如禅。"
"秋日怀人并序 其三","清末民国初","许南英","乞米饥驱走五羊，一官匏系费商量。忽惊烽火罹尘劫，贱卖文章计宿粮。岳麓瞻依思老母，漳江憔悴累姬姜。衡阳断雁无消息，修史何人识子长。"
"秋日怀人并序 其四","清末民国初","许南英","酒仙诗史亦文雄，谈笑高才肆应融。幕府秘书能得士，骚坛斗句愧输公。山间歌啸龙之蛰，天际回翔鹤在空。垂老栖迟南徼远，绿波春水感文通。"
"秋日怀人并序 其五","清末民国初","许南英","髫年文字竹溪西，香火因缘手共携。献赋相如春走马，著鞭越石夜闻鸡。乡心瀛岛萦云树，宦迹章江认雪泥。犹记卬须求我友，林公祠宇夕阳低。"
"秋日怀人并序 其六","清末民国初","许南英","浪仙诗瘦身兼瘦，原宪家贫学不贫。独往独来能拔俗，一颦一笑不随人。依然傲世天应妒，强欲趋时性未驯。悔不十年劳服贾，图书万卷误儒巾。"
"饯岁","清末民国初","章炳麟","不作彭殇念，吾犹恋椭球。短长看日夜，身世等蜉蝣。残鬓睢阳恨，馀生逝水浮。青阳东国早，春又满蛉洲。"
"玉山吟社席上即事","清末民国初","章炳麟","唾壶击破转心惊，弹指苍茫景物更。满地江湖吾尚在，棋枰声里俟河清。"
"食瓜 其一","清末民国初","章炳麟","膏火长为患，呼僮且卖瓜。不辞停浊酒，正尔醉流霞。却热频添凌，承尘为笼纱。青门尚酣战，莫问故侯家。"
"食瓜 其二","清末民国初","章炳麟","老欲灌园去，于陵已陆沈。海隅沙正白，塞上气犹阴。大实能寒胆，明灯不系心。休将天子树，还以换兼金。"
"哭亡妻高氏绸","清末民国初","傅锡祺","比翼双栖廿七年，逐春归去杳如烟。未完儿女成人愿，竟了夫妻夙世缘。怜我孱躯馀只影，凭谁深恨诉重泉。连宵知否鳏鱼目，开到天明炯不眠。归我盈盈十五时，平生妇道未曾亏。蒸梨不拂曾参意，举案常齐德曜眉。满望鹿车长共挽，那知鸡骨卒难支。回春至竟无灵药，枉遣诸儿急学医。妇人有德岂须才，笑口时因内顾开。茹苦一生无怨语，持家廿载薄私财。忙劳井臼常身任，力疾衣裳尚手裁。往事如今回首处，从头历历总堪哀。与君聚少别离多，奔走风尘可奈何。万事放心凭内助，九年无计起沉痾。凄凉遗挂空留壁，叹息浮生等逝波。此去梦中相见外，岁时唯有墓门过。"
"哭故栎社长赖绍尧先生","清末民国初","傅锡祺","骚坛盟主饮中仙，诗酒清狂二十年。谁料素娥偷药夜，恰当长吉断魂天。珠玑错落题襟集，风雨苍凉宝剑篇。弹指香山馀五老，披图眉宇重凄然。"
"谒彰化孔子庙","清末民国初","黄赞钧","巍峨宫殿古时容，百代犹存学者宗。礼乐春秋循旧典，藻蘋笾豆荐新供。丹青剥落尊严在，碑石模糊尘土封。惆怅庭前泮池水，绿阴空长昔年松。宫阙秋深向晚开，我来庭外几徘徊。虫侵梁栋馀蚀迹，鸦集泮林罢培材。鼓钟犹见衣冠盛，金碧何堪风雨摧。闻说集裘良不易，驱车欲去首重回。"
"己卯1939初夏诣指南宫","清末民国初","黄赞钧","宫阙崔巍拔地高，殿堂钟磬日嗷嘈。篆烟昼永飘香霭，山雨宵深响怒涛。鸾石苔痕青掩映，星池柳影绿周遭。琅环即此为仙境，谁向屠门解放刀。"
"鹿耳门","清末民国初","黄赞钧","骑鲸人渺霸图空，鹿耳潮高旭日红。谁遣蛟龙终困此，惊涛怒吼海门风。"
"七鲲身","清末民国初","黄赞钧","照海渔灯闪闪明，七鲲宵静月痕清。浪花飞雪鱼龙戏，触网惊传入巨鲸。"
"红毛井","清末民国初","黄赞钧","荷人凿井得甘泉，一勺清湛闹市边。遗址不随桑海变，怒蛙水浅哭窥天。"
"谒台北圣庙","清末民国初","谢汝铨","落日圆山路，驱车谒圣堂。龙峒新庙貌，麟史旧文章。坛杏春应好，池芹夏自香。弦歌鲲岛遍，风教复隆昌。"
"读书题后","清末民国初","谢汝铨","惨祸降臣累可哀，胡天凄望李陵台。千秋事业刑馀作，一代文章史局开。蠹简唐虞遥溯上，鸿裁楚汉并传来。钩玄索隐三家注，尽附原书衒博该。"
"留别滩音吟社诸子","清末民国初","谢尊五","愧作西宾阅九秋，毫无匡益任悠悠。虽从几席资相问，何补丹铅进厥修。蝉曳别枝情太苦，燕移新垒恋宁休。最怜滩水声长响，过访他时似旧不。"
"赋得艰危气益增","清末民国初","谢尊五","艰钜何曾怯，森然气益充。临危磨百折，遇险奋孤忠。际此坚冰履，时教沥胆雄。事机遭偃蹇，道义配浑融。阨运添高抗，操心善处穷。至刚天地塞，万劫尽排空。"
"咏台湾中秋","清末民国初","谢尊五","毗耶风景不胜收，况复蟾宫桂影浮。喜接清吟袁子舫，同怀逸兴庾公楼。观涛瀛海三千界，对镜圆山一片秋。甚欲升平长此夕，群贤毕至乐赓酬。"
"贾煜公四十一年高考试闱中感赋步韵","清末民国初","谢尊五","严肃棘闱藻鉴开，青钱万选擢英才。衡量玉尺初登座，灿烂文奎突上台。造士菁莪时讽诵，春官桃李日培栽。天门榜放知谁属，学子争先挤拥来。"
"登废城吊沈文肃公","清末民国初","苏镜潭","汉朝杨仆事专征，铜柱巍巍旧勒铭。上将楼船下沧海，中兴郡县堕金城。赂秦几辈签降表，责楚于今罢请盟。地下橐弓应有恨，怒潮呜咽打荒营。"
"访鼓浪屿郑延平水操台故址","清末民国初","苏镜潭","大鲸搅海海神泣，草鸡干头海水白。洞天遗址水操台，台下怒涛捲寒石。一朝碧眼坐江东，天下全师皆辟易。骨肉情多国仇深，杯酒从容兵权释。"
"台南谒延平王祠","清末民国初","苏镜潭","英雄立马拥专征，故垒萧萧赤嵌城。招讨已颁唐印绶，旌旗犹是鲁诸生。浯州一旅擎铜柱，东海何年走大鲸。回首扶桑孤岛在，茫茫无地哭田横。"
"贾岛祭诗","清末民国初","王则修","诗家心血佛家禅，一岁消磨剩锦笺。腊酒送归乾净土，吟魂缕缕起浓烟。"
"皇太子巡台","清末民国初","王则修","翩翩鹤驾下瀛东，三祝华封万姓同。犵草绿迎金辇过，蛮花红待玉车通。旌旗耀日前星动，扈从如云少海洪。一道省耕廑睿念，不徒巡狩慕遗风。"
"题台湾诗醇","清末民国初","王则修","果然经正思无偏，开卷披吟见昔贤。个个名高兼望重，篇篇玉润又珠圆。吉光片羽人争贵，不胫双飞世共传。三百年来文献考，非徒诗学得真诠。"
"子产","清末民国初","王则修","驿垣坏尽岂无因，慢客羁留恼杀人。东里有词群是赖，晋宫宾馆又重新。谁具文章润色才，有词东里独恢恢。尊严郑命无轻亵，全赖公孙黼黻来。不堪币重困封邻，一纸遗书晋相陈。羞杀范宣无令德，剧怜象齿自焚身。敬恭义惠道兼赅，况复精通政治才。善喻庇身同美锦，何堪学制使人来。子弟田畴诲殖赅，郑人教养仰贤才。公孙毕竟称慈母，郇黍流膏遍草莱。"
"留园雅集席上即事","清末民国初","汪春源","劳生何以慰酸哀，酒盏相逢笑口开。祇愧江郎才已尽，今朝枉自上吟台。"
"留园雅集席上即事","清末民国初","汪春源","非步陈思赋七哀，骚坛白战两行开。下风如我甘长拜，尽有风流似玉台。"
"新竹郑慧修贞孝女挽诗","清末民国初","汪春源","不字香闺廿六年，皎然贞孝达于天。慈航有路同成佛，素璧无瑕合證禅。桑梓祇应传故迹，蓼莪未忍读终篇。红楼勘破繁华梦，百级浮图火底莲。"
"补祝叔臧先生四十双寿"
","清末民国初","汪春源","在山泉水清如许，横海风涛幻亦奇。入社名流皆北面，传觞盛会又南皮。弄孙喜点汾阳颔，偕老欣齐德曜眉。愧我却超刚入幕，效颦聊晋祝延诗。"
"壬戌1922五月十八日为菽庄林先生偕德配龚夫人四十有八双寿闰五重庆诗以祝之 其一","清末民国初","汪春源","忆昔甲寅逢闰夏，于今八载又张筵。画眉京兆闺房韵，点颔汾阳福寿全。诗笔风流主坛坫，梅花眷属总神仙。园亭真率罗耆旧，洛社温公最少年。"
"壬戌1922五月十八日为菽庄林先生偕德配龚夫人四十有八双寿闰五重庆诗以祝之 其二","清末民国初","汪春源","五月重逢介玉觞，万年茀禄咏鸳鸯。平生爱客同严武，佳日吟诗拓菽庄。益荚阶蓂真瑞事，斟蒲樽酒正浓香。双星耿耿中天耀，觅句登堂颂寿康。"
"台舟感怀 其一","清末民国初","易顺鼎","此行端不为鲈鱼，万里南舟驾日车。汉弃朱崖非得已，越薰丹穴果何如。久轻陆贾千金橐，欲达刘公一纸书。碣石潇湘迷处所，海天极目独愁予。"
"台舟感怀 其二","清末民国初","易顺鼎","火维朱鸟在南窗，蜗角称兵有旧邦。空慕班超探虎穴，岂知项羽走乌江。六州错铸金瓯缺，一局棋枯玉斗撞。且自全躯保妻子，资多终得拥旌幢。"
"台舟感怀 其三","清末民国初","易顺鼎","顺昌闻道有刘锜，赤手空弮半壁支。即墨田单为守将，睢阳南八是男儿。两河忠义旌旗在，万福威名草木知。谁识洛阳年少客，抚弦悽壮共登陴。"
"台舟感怀 其四","清末民国初","易顺鼎","漫道扶馀拥仲坚，海滨邹鲁日中天。潮州谪宦能驱鳄，汐社遗民有拜鹃。千圣降灵留命脉，九州同气拒腥膻。辽东皂帽聊城矢，一节徘徊愧昔贤。"
"游厦门南普陀 其一","清末民国初","易顺鼎","一自□田隐不偕，板舆追念独伤怀。见佳泉石惟思哭，遇好溪山便欲埋。已誓首邱成羽化，尚惭面壁学心斋。炎荒风景还如梦，两道清湍百尺崖。"
"新正漫成","清末民国初","易顺鼎","纸鸢筝与卖饧箫，新岁儿童气已骄。阴一日还晴一日，醉连朝更睡连朝。春来渐欲生红土，雪后犹思上黑窑。领略宣南閒况味，光阴何患不能销。难得新正是嫩晴，嬉游士女说承平。书因忙极车中读，诗为閒多枕上成。阅世僧枯忘夏腊，谈天客老恋春明。五陵年少三河侠，相见都能识姓名。"
"初秋作","清末民国初","易顺鼎","旗亭说梦一衰翁，说梦谁知在梦中。才替荷花作生日，又看梧叶落秋风。骚从览揆庚寅始，诗自编年甲子终。还共少年贪把臂，真成临老入花丛。"
"儿山太守六十正寿","清末民国初","施士洁","须眉落落赵元叔，诗易彬彬夏敬公。昔日黄堂今绿野，居然出处古人风。"
"赠阿环女史 其一","清末民国初","施士洁","满眼秋瓜尽系匏，名葩一朵出林梢。烟花俗尚分冰炭，露草情缘比漆胶。妒虎何颜偏腹诽，媚狐甚口岂心交。嗤他钱树连枝并，究竟庞廉孰解嘲。"
"赠阿环女史 其二","清末民国初","施士洁","频年俗累客中纷，怎比樊川乞紫云。我似塞鸿常印爪，卿如厩马久空群。六宫粉黛休争宠，五夜帏房且策勋。待得蓝桥寻玉杵，可能新妇配参军。"
"斐亭听涛","清末民国初","施梅樵","海气嘘云云如棉，海风吹浪浪拍天。冯夷狡狯伎俩未忍捐，偏令江湖之水日日汇大川。又令蛟龙扬鬐掉尾舞深渊，鲸钟鼍鼓声喧阗。往来估客篷窗闻之不能眠，胡为乎官廨恰与相比连。中有一亭自巍然，苍松翠竹亭之前。绿阴蓊郁草蔓延，暮夜月色朝霏烟。自公退食与周旋，茗碗花樽会群贤。觞咏乐同永和年，座中唱和兴欲仙。歌吟响应鸥鹭边，亭中人物几变迁，亭外海啸依旧声溅溅。我知延平遗恨尚绵绵，郁为怒涛昼夜鸣潺湲。思欲一泛酒家船，来呼草鸡起九泉。好共凭吊三闾与青莲，相与话沧海桑田。免劳精卫衔石填，长愿波平如镜照大千。"
"对酒","清末民国初","施梅樵","不饮频教世俗嗤，偶然豪饮便惊奇。谁知酒味输诗味，竞说斯时胜昔时。镜里酡颜忘我老，杯中馀滴属民脂。禦寒庶免无衣叹，倾尽壶觞一展眉。"
"题台湾诗醇","清末民国初","徐杰夫","韵事东山记昔年，后先继起尽青莲。扢扬何必分今古，荟萃精华诗一篇。"
"过法华寺吊李茂春","清末民国初","徐杰夫","泪洒煤山总未乾，孤臣无计挽回澜。奔来鲲岛心尤痛，小筑茅亭膝易安。日诵佛经空色相，时怀君父沥忠肝。城南古寺停骖问，感慨沧桑改旧观。"
